id,1st_area,2nd_area,difficulty,attempts,final_results
0001,출력,print(),1,,
0002,출력,print(),2,,
0003,출력,print(),3,,
0004,출력,print(),4,,
0005,출력,print(),5,,
0006,출력,print(),1,,
0007,출력,print(),2,,
0008,출력,print(),3,,
0009,출력,print(),4,,
0010,출력,print(),5,,
0011,변수와 입출력,input(),1,,
0012,변수와 입출력,input(),2,,
0013,변수와 입출력,input(),3,,
0014,변수와 입출력,input(),4,,
0015,변수와 입출력,input(),5,,
0016,변수와 입출력,input(),1,,
0017,변수와 입출력,input(),2,,
0018,변수와 입출력,input(),3,,
0019,변수와 입출력,input(),4,,
0020,변수와 입출력,input(),5,,
0021,연산자와 형변환,산술연산,1,,
0022,연산자와 형변환,산술연산,2,,
0023,연산자와 형변환,산술연산,3,,
0024,연산자와 형변환,산술연산,4,,
0025,연산자와 형변환,산술연산,5,,
0026,연산자와 형변환,산술연산,1,,
0027,연산자와 형변환,산술연산,2,,
0028,연산자와 형변환,산술연산,3,,
0029,연산자와 형변환,산술연산,4,,
0030,연산자와 형변환,산술연산,5,,
0031,연산자와 형변환,논리연산,1,,
0032,연산자와 형변환,논리연산,2,,
0033,연산자와 형변환,논리연산,3,,
0034,연산자와 형변환,논리연산,4,,
0035,연산자와 형변환,논리연산,5,,
0036,연산자와 형변환,논리연산,1,,
0037,연산자와 형변환,논리연산,2,,
0038,연산자와 형변환,논리연산,3,,
0039,연산자와 형변환,논리연산,4,,
0040,연산자와 형변환,논리연산,5,,
0041,연산자와 형변환,정수화,1,,
0042,연산자와 형변환,정수화,2,,
0043,연산자와 형변환,정수화,3,,
0044,연산자와 형변환,정수화,4,,
0045,연산자와 형변환,정수화,5,,
0046,연산자와 형변환,정수화,1,,
0047,연산자와 형변환,정수화,2,,
0048,연산자와 형변환,정수화,3,,
0049,연산자와 형변환,정수화,4,,
0050,연산자와 형변환,정수화,5,,
0051,연산자와 형변환,실수화,1,,
0052,연산자와 형변환,실수화,2,,
0053,연산자와 형변환,실수화,3,,
0054,연산자와 형변환,실수화,4,,
0055,연산자와 형변환,실수화,5,,
0056,연산자와 형변환,실수화,1,,
0057,연산자와 형변환,실수화,2,,
0058,연산자와 형변환,실수화,3,,
0059,연산자와 형변환,실수화,4,,
0060,연산자와 형변환,실수화,5,,
0061,연산자와 형변환,문자열화,1,,
0062,연산자와 형변환,문자열화,2,,
0063,연산자와 형변환,문자열화,3,,
0064,연산자와 형변환,문자열화,4,,
0065,연산자와 형변환,문자열화,5,,
0066,연산자와 형변환,문자열화,1,,
0067,연산자와 형변환,문자열화,2,,
0068,연산자와 형변환,문자열화,3,,
0069,연산자와 형변환,문자열화,4,,
0070,연산자와 형변환,문자열화,5,,
0071,데이터 구조,리스트,1,,
0072,데이터 구조,리스트,2,,
0073,데이터 구조,리스트,3,,
0074,데이터 구조,리스트,4,,
0075,데이터 구조,리스트,5,,
0076,데이터 구조,리스트,1,,
0077,데이터 구조,리스트,2,,
0078,데이터 구조,리스트,3,,
0079,데이터 구조,리스트,4,,
0080,데이터 구조,리스트,5,,
0081,데이터 구조,리스트,1,,
0082,데이터 구조,리스트,2,,
0083,데이터 구조,리스트,3,,
0084,데이터 구조,리스트,4,,
0085,데이터 구조,리스트,5,,
0086,데이터 구조,튜플,1,,
0087,데이터 구조,튜플,2,,
0088,데이터 구조,튜플,3,,
0089,데이터 구조,튜플,4,,
0090,데이터 구조,튜플,5,,
0091,데이터 구조,튜플,1,,
0092,데이터 구조,튜플,2,,
0093,데이터 구조,튜플,3,,
0094,데이터 구조,튜플,4,,
0095,데이터 구조,튜플,5,,
0096,데이터 구조,딕셔너리,1,,
0097,데이터 구조,딕셔너리,2,,
0098,데이터 구조,딕셔너리,3,,
0099,데이터 구조,딕셔너리,4,,
0100,데이터 구조,딕셔너리,5,,
0101,데이터 구조,딕셔너리,1,,
0102,데이터 구조,딕셔너리,2,,
0103,데이터 구조,딕셔너리,3,,
0104,데이터 구조,딕셔너리,4,,
0105,데이터 구조,딕셔너리,5,,
0106,데이터 구조,세트,1,,
0107,데이터 구조,세트,2,,
0108,데이터 구조,세트,3,,
0109,데이터 구조,세트,4,,
0110,데이터 구조,세트,5,,
0111,반복문,for,1,,
0112,반복문,for,2,,
0113,반복문,for,3,,
0114,반복문,for,4,,
0115,반복문,for,5,,
0116,반복문,for,1,,
0117,반복문,for,2,,
0118,반복문,for,3,,
0119,반복문,for,4,,
0120,반복문,for,5,,
0121,반복문,while,1,,
0122,반복문,while,2,,
0123,반복문,while,3,,
0124,반복문,while,4,,
0125,반복문,while,5,,
0126,반복문,while,1,,
0127,반복문,while,2,,
0128,반복문,while,3,,
0129,반복문,while,4,,
0130,반복문,while,5,,
0131,반복문,turtle,1,,
0132,반복문,turtle,2,,
0133,반복문,turtle,3,,
0134,반복문,turtle,4,,
0135,반복문,turtle,5,,
0136,반복문,turtle,1,,
0137,반복문,turtle,2,,
0138,반복문,turtle,3,,
0139,반복문,turtle,4,,
0140,반복문,turtle,5,,
0141,조건문,if,1,,
0142,조건문,if,2,,
0143,조건문,if,3,,
0144,조건문,if,4,,
0145,조건문,if,5,,
0146,조건문,if,1,,
0147,조건문,if,2,,
0148,조건문,if,3,,
0149,조건문,if,4,,
0150,조건문,if,5,,
0151,조건문,elif,1,,
0152,조건문,elif,2,,
0153,조건문,elif,3,,
0154,조건문,elif,4,,
0155,조건문,elif,5,,
0156,조건문,elif,1,,
0157,조건문,elif,2,,
0158,조건문,elif,3,,
0159,조건문,elif,4,,
0160,조건문,elif,5,,
0161,조건문,else,2,,
0162,조건문,else,3,,
0163,조건문,else,4,,
0164,조건문,else,5,,
0165,조건문,else,1,,
0166,조건문,else,2,,
0167,조건문,else,3,,
0168,조건문,else,4,,
0169,조건문,else,5,,
0170,종합,종합,1,,
0171,종합,종합,2,,
0172,종합,종합,3,,
0173,종합,종합,4,,
0174,종합,종합,5,,
0175,종합,종합,1,,
0176,종합,종합,2,,
0177,종합,종합,3,,
0178,종합,종합,4,,
0179,종합,종합,5,,
0180,종합,종합,1,,
0181,종합,종합,2,,
0182,종합,종합,3,,
0183,종합,종합,4,,
0184,종합,종합,5,,
